Coin,Price,24H Volume,Market Cap,Circulating Supply
CMTC,0.00364557,0,0.3181962863101628,0
CHESSCOIN,0.01520503,0,0,0
SPACECOIN,0.0004303914,0,0,0
REE,0.006240782599999999,0,0,0
LQD,0.036577219,0,0,0
MARV,1.21518e-05,0,0,0
VEC2,0.00013048,0,0,0
OMNI,2.6597,0,0,0
GSY,0.03543238,0,0,0
TRTK
LIR,6.075599999999999e-05,2.842645451092892,0,0
MMNXT,0.1542979698,0,0,0
SCRPT,0.00018879,0.0016991099999999998,0,0
LBC,0.0103292784,8941.20634517719,7930897.104900369,0
SPCIE,0.04016996,0,0,0
SBD,2.901424416,4100415.942741531,33196896.17446921,0
CJ,0.0002152251,0,0,0
PUT,0.00019370259,0,0,0
KRAK,0.02186463,0,0,0
DLISK,4.86116e-05,0.9766696811758474,0,0
IBANK,0.0006456839999999999,0,0,0
STRAX,0.79354413,39939829.757348694,110058214.07115427,0
VOYA,0.194361648,0,0,0
ENTER,1.21529e-05,0.2809449105171839,0,0
BM,0.0002152356,0,0,0
FRWC,0.00073516,1.42582521857138,0,0
PSILOC,0.01900238,0,0,0
XTREME,1.448e-05,0,0,0
RUST,0.0122647986,3.273309268573457,0,0
NZC,5.508e-05,0.43150221734973115,0,0
SNGLS,0.0004021,0,402100,0
XAUR,0.013135435,0.31525044,0,0
BFX,7.295819999999999e-05,0,0,0
UNIQ,0.004737154400000001,0,0,0
CRX,6.25e-05,0,0,0
DCT,0.00039026,0,0,0
XPOKE,0.0004306546,0,0,0
MUDRA,0.0002152961,0,0,0
WARP,0.0290661915,0,0,0
CNMT,2.833707268,0,0,0
PIZZACOIN,0.0008611192,0,0,0
LUTETIUM,1.21556e-05,0,0,0
HEAT,0.1458696,0,0,0
ICN,0.14509836,0,0,0
EXB,0.000243118,0.000972472,0,0
WINGS,0.00443476388,0,443476.38800000004,0
CDEX
RBIT,0.0002152798,0.18564590491088187,0,0
DCS.
KMD,0.21906848,1656739.2956891381,29485615.501316115,0
GB,0.0034,0,0,0
NEO,9.1235226,28145016.120096438,912352259.9999999,0
ANONCOIN,0.1945187118,0,0,0
SYNX,0.2229667308,0,0,0
EDC,0.00159904,0,0,0
JWL,0.0002152549,0,0,0
WAY,0.00105075,0,0,0
TAB,0.03899897,3.1977990274572,0,0
TRIG,0.42616233,0,0,0
BITCNY,0.11681861675,0,2420856.142726684,0
BITUSD,0.5404595404595406,0,0,0
ATMC,3.82686052,5.5688151139043907e-11,0,0
STO,1.739e-05,0,0,0
CARTERCOIN,0.0297026094,0,0,0
TOT,4.405e-05,0,0,0
BTD,0.0082272425,0,0,0
BOTS
MDC,0.007532875,0,0,0
FTP,0.062416787,0,0,0
ZET2,0.0441743375,0,0,0
CVNC,0.7320101538000001,0,0,0
KRB,0.0826488192,2964.761509226703,0,0
TELL,0.00062031,0,0,0
ENE,0.037793964,0.12889820240844027,0,0
TDFB,0.0180792024,5.618236239818148,0,0
BLOCKPAY,8.519675814476004e-10,0,0,0
BXT,0.06635075,0.2727200751175326,0,0
ZYD,0.001076026,0,0,0
MUSTANGC,0.006025826800000001,0,0,0
GOON,0.000121509,0,0,0
VLT,0.00991017,0,0,0
ZNE,0.0006456557999999999,16.043803057992783,0,0
DCK,0.000923476,7.6912443034294125,0,0
COVAL,0.01294,184999.6346752263,23003122.277150203,0
DGDC,0.08866656120000001,0,0,0
TODAY,4.723e-05,0.0014169,0,0
VRM,0.7743083096,44430.78190332799,0,0
ROOT,0.0105452949,0,0,0
1ST,0.1268841189,0,0,0
GPL,0.2939813678,0,0,0
DOPE,0.0047355616,0,0,0
B3,1.199e-05,0,0,0
FX,0.2412675613,265058.8861560059,0,0
PIO,0.11500093,0,0,0
PROUD,0.0002152528,0,0,0
SMSR,0.00293959,0,0,0
UBIQ,0.00127886,0,0,0
ARM,6.642e-05,0,0,0
ERB
LAZ,0.00041257,0.23485146564491416,0,0
FONZ,0.0002997,0,0,0
BTCR,0.00058571,0,0,0
FCTC
SANDG,0.0002152642,0,0,0
PUNK
MOOND,0.0015432405,22.62010458955625,0,0
DLC,0.0008609884,4.0764275193714985,0,0
SEN,0.02120912,0,0,0
SCN,0.0072,0,0,0
LTH,0.00026985,7.056172724999999,0,0
BRONZ,0.0050298102,0,0,0
SH,0.00164114,0,0,0
BUZZ,9.56e-06,0,0,0
MINDGENE,0.0516636,0,0,0
PSI,0.08,0,0,0
XPO,0.004132518999999999,5266.941171784149,0,0
NLC,0.0010070045242,0,0,0
PESOBIT,0.0032281515,0,0,0
XBTS,0.0018587052,0,0,0
FITC,8.886e-05,0,0,0
PINKX,1.982e-05,0.8919000000000001,0,0
FIRE,0.27781184,0,0,0
UNF,0.00054613,0,0,0
SPORT,0.00078999,0.00631992,0,0
PPY,0.5723,293939.11029858136,0,0
NTC,0.0001882521499999879,0,0,0
EGO,0.00014,0,0,0
RCOIN,2.42844e-05,0,0,0
X2,1.21463e-05,0,0,0
MYCELIUM,322.74075,0,0,0
TIA,0.000485688,0,0,0
GBRC,0.0027960062,0,0,0
UPCOIN,0.01936849,0,0,0
HALLO,2.4284e-05,0,0,0
BBCC,0.00079342,0,0,0
EMIGR
BIGHAN,0.3772234838,0,0,0
CRAFTCOIN,0.00126453,0,0,0
INVIC,8.500100000000001e-05,0,0,0
OLYMP,9.299e-05,0.2760392389459665,0,0
DPAY,0.000170002,1.4693464982133237,0,0
HKG,0.1187558685446009,0,0,0
ANTC
JOBS,4.323e-05,1.5439894813181467,0,0
