Time,BTC-USD,ETH-USD,USDT-USD,USDC-USD,BNB-USD,SAITAMA-USD,XRP-USD,SOL-USD,BUSD-USD,ADA-USD,DOGE-USD,BTC-INR,ETH-INR,USDT-INR,USDC-INR,BNB-INR,SAITAMA-INR,XRP-INR,SOL-INR,BUSD-INR,ADA-INR,DOGE-INR,BTC-EUR,ETH-EUR,USDT-EUR,USDC-EUR,BNB-EUR,SAITAMA-EUR,XRP-EUR,SOL-EUR,BUSD-EUR,ADA-EUR,DOGE-EUR
1654063200,31649.75,1938.3,0.9993,1.003,318.95,4e-09,0.4218,45.05,1.003,0.6139,0.08598,2798376.94,168964.03,88.6,88.66,27797.93,-1,37.13,3925.87,88.66,53.5,7.494,29556.11,1806.22,0.9358,0.9364,297.16,4e-09,0.3936,42.05,0.9364,0.5731,0.08021
1654066800,31612.31,1943.31,0.9993,1.005,319.57,4e-09,0.4189,45.17,1.005,0.6103,0.08605,2768625.93,165854.36,87.96,88.02,27273.71,-1,36.62,3855.01,88.01,52.07,7.338,29484.41,1812.4,0.933,0.9374,296.83,4e-09,0.39,42.12,0.9373,0.569,0.08013
1654070400,31618.15,1937.55,0.9993,1,319.2,4e-09,0.4161,44.93,1.001,0.6114,0.08576,2719002.02,164779.81,85.99,86.04,27136.41,-1,35.83,3823.28,86.04,51.96,7.308,29493.47,1808.54,0.9328,0.9333,297.84,4e-09,0.3876,41.9,0.9333,0.5703,0.08001
1654074000,31681.53,1942.42,0.9993,1,320.09,4e-09,0.4182,45.23,1,0.6189,0.08748,2995994.83,164119.02,94.53,94.6,27054.35,-1,39.64,3818.65,94.58,52.29,7.413,29557.46,1812.07,0.9329,0.9335,298.71,4e-09,0.3898,42.2,0.9331,0.5773,0.08157
1654077600,31685.9,1943.05,0.9994,1,320.83,4e-09,0.4179,45.25,1.005,0.6185,0.08931,2739895.86,164968.53,86.83,86.89,27194.68,-1,36.24,3837.35,86.89,52.45,7.605,29550.94,1807.61,0.9365,0.9372,297.98,4e-09,0.3893,42.2,0.9371,0.5768,0.08334
1654081200,31649.81,1940.99,1.001,1.002,318.34,4e-09,0.4172,45.05,1.002,0.6134,0.08784,2739500.86,159092.15,86.68,86.75,26096.4,-1,36.11,3692.89,86.74,50.25,7.23,29544.16,1811.52,0.9339,0.9355,297.15,4e-09,0.3891,42.05,0.9355,0.5725,0.08193
1654084800,31814.83,1961.84,0.9994,1.003,318.35,4e-09,0.4193,45.15,1.003,0.608,0.08737,2800000,159934.69,88.25,88.31,25994.89,-1,36.96,3677.64,88.31,49.73,7.153,29678.36,1825.94,0.9337,0.9361,296.78,4e-09,0.3909,42.11,0.9361,0.5669,0.08154
1654088400,31884.55,1971.79,1.004,1,319.88,4e-09,0.4213,45.62,1.005,0.6089,0.08773,2756005.34,160860.28,86.84,86.91,26125.5,-1,36.61,3722.56,86.91,49.81,7.149,29726.66,1833.88,0.9367,0.9375,297.84,4e-09,0.3931,42.54,0.9374,0.5677,0.08174
1654092000,31790.84,1967.38,1.029,1.02,319.06,4e-09,0.4203,45.61,1.021,0.6078,0.08715,2719016.8,167775.5,87.19,87.24,27289.6,-1,35.84,3888.84,87.31,51.87,7.452,29727.23,1808.15,0.9533,0.9538,294.1,4e-09,0.3929,42.67,0.9546,0.5683,0.08151
1654095600,31202.1,1911.84,1.015,1.016,312.79,4e-09,0.4115,43.83,1.016,0.5869,0.08526,2798799.87,164004.01,91.04,91.1,26730.52,-1,37.21,3751.33,91.12,50.35,7.322,29269.57,1778.11,0.952,0.9527,289.81,4e-09,0.3861,41.12,0.9529,0.5505,0.07989
1654099200,30723.16,1879.29,1.01,1.011,305.08,4e-09,0.4075,43.06,1.011,0.5691,0.08408,2705790.76,152418.33,88.96,89.03,24889.69,-1,36.14,3499.96,89.04,46.38,6.831,28871.9,1753.41,0.9493,0.95,286.33,3e-09,0.3829,40.45,0.9501,0.5351,0.07898
1654102800,30402.97,1857.39,1.007,1.009,304.19,4e-09,0.4044,42.71,1.009,0.5665,0.08307,2761998.58,159301.91,91.52,91.64,26129.99,-1,36.95,3658.2,91.64,48.7,7.15,28581.64,1734.59,0.9471,0.9483,284.52,3e-09,0.3803,40.16,0.9483,0.5326,0.078
1654106400,30407.81,1853.3,1.008,1.009,304.35,4e-09,0.4046,41.87,1.009,0.5652,0.08255,2599998.57,159166.01,86.15,86.32,26133.67,-1,34.97,3600.52,86.28,48.66,7.118,28533.32,1733.9,0.9455,0.9473,284.69,3e-09,0.3799,39.32,0.9469,0.5305,0.07745
1654110000,30323.03,1828.15,1.006,1.007,303.89,4e-09,0.4023,41.6,1.008,0.5604,0.08192,2598000.72,157440.67,86.23,86.29,26136.29,-1,34.81,3563.57,86.33,48.07,7.06,28436.36,1714.67,0.9439,0.9445,284.65,3e-09,0.3778,39.05,0.945,0.5256,0.07688
1654113600,30131.69,1822.04,1.017,1.016,303.36,4e-09,0.402,41.31,1.018,0.5575,0.08188,2679001.98,162695.79,90.39,90.37,27245.45,-1,35.76,3672.91,90.5,49.62,7.287,28285.41,1689.52,0.9543,0.9541,282.93,3e-09,0.3775,38.82,0.9555,0.5235,0.07684
1654117200,29758.27,1805.88,0.9994,1.007,300.22,4e-09,0.3961,40.97,1.007,0.5498,0.08067,2679001.98,150407.95,90.54,90.62,25026.77,-1,35.99,3410.27,90.62,45.73,6.727,27948.87,1688.72,0.9446,0.9454,280.99,3e-09,0.3719,38.46,0.9454,0.5162,0.07569
1654120800,29755.16,1819.25,1,1.001,300.8,4e-09,0.3975,40.69,1.001,0.5467,0.08093,2593125.62,158621.49,87.18,87.27,26242.43,-1,34.72,3560.36,87.24,47.74,7.079,27931.55,1707.82,0.9391,0.94,282.54,3e-09,0.3729,38.19,0.9397,0.5132,0.07589
1654124400,30039.98,1842.91,1.008,1.009,302.34,4e-09,0.4012,40.73,1.015,0.5589,0.08139,2630002.48,161797.75,88.25,88.33,26615.63,-1,35.28,3571.54,88.32,49.23,7.18,28195.85,1720.65,0.9461,0.947,283.05,3e-09,0.3764,38.23,0.9469,0.5254,0.07641
1654128000,29801.01,1825.43,1.004,1.005,300.9,4e-09,0.3992,40.1,1.006,0.5674,0.08107,2630002.48,160964.78,88.61,88.71,26569.04,-1,35.28,3539.91,88.7,50.01,7.174,27983.48,1705.42,0.9428,0.9439,281.5,3e-09,0.3737,37.66,0.9437,0.5316,0.07611
1654131600,29865.76,1834.05,1.002,1.003,303.88,4e-09,0.3977,40.21,1.006,0.579,0.08108,2627996.37,146817.7,88.15,88.22,24330.2,-1,35.11,3226.5,88.24,46.39,6.525,28032.29,1718.35,0.9385,0.9411,284.76,3e-09,0.3735,37.73,0.9412,0.5437,0.07606
1654135200,29884.83,1835,1.002,1.003,302.97,4e-09,0.3973,39.99,1.004,0.5733,0.08108,2617898.95,160843.71,87.8,87.87,26571.67,-1,34.97,3507.98,87.86,50.34,7.121,28044.81,1719.74,0.9388,0.9414,284.1,3e-09,0.3731,37.53,0.9418,0.5381,0.07603
1654138800,29842.63,1832.96,0.9999,1,302.06,4e-09,0.3971,39.65,1.012,0.5767,0.08107,2816478.28,159203.68,94.74,94.84,26270.29,-1,37.44,3443.92,94.83,50.05,7.054,28023.3,1712.61,0.9483,0.9491,282.6,3e-09,0.3728,37.24,0.95,0.539,0.07606
1654142400,29805.08,1817.94,0.9998,1,301.4,4e-09,0.3955,39.15,1.002,0.5672,0.08084,2593316.16,156919.2,87,87.08,26016.09,-1,34.5,3377.98,87.08,48.97,6.992,27976.43,1707.04,0.9384,0.9394,283.02,3e-09,0.3711,36.76,0.9394,0.5324,0.0758
1654146000,29871.35,1823.81,0.9999,1.001,302.25,4e-09,0.3956,39.29,1.001,0.5653,0.08104,2686200.24,156679.63,89.92,89.99,25967.87,-1,35.49,3371.72,89.99,48.57,6.98,28027.67,1710.63,0.9382,0.939,283.52,3e-09,0.371,36.87,0.9389,0.5294,0.07604
1654149600,29926.91,1824.71,0.9997,1.001,302.85,4e-09,0.3954,39.67,1.001,0.5687,0.08127,2565994.61,155176.8,85.77,85.84,25794.96,-1,33.86,3378.28,85.83,48.41,6.97,28037.66,1709.05,0.9377,0.938,284.1,3e-09,0.3703,37.22,0.9379,0.533,0.0762
1654153200,30094.94,1836.38,0.9997,1.005,304.33,4e-09,0.3993,40.07,1.005,0.5784,0.08156,2630040.91,154979.96,87.76,87.84,25749.66,-1,34.65,3376.63,87.83,48.89,6.9,28173.46,1712.91,0.9363,0.9409,284.6,3e-09,0.3735,37.5,0.9408,0.5412,0.0763
1654156800,30000.79,1832.16,0.9997,1.003,304.28,4e-09,0.3952,39.96,1.003,0.5844,0.08147,2790898.88,153891.12,93.22,93.29,25572.93,-1,36.9,3355.98,93.3,49.11,6.853,28068.82,1710.95,0.9355,0.9383,284.32,3e-09,0.3697,37.39,0.9383,0.5462,0.07619
1654160400,30003.53,1828.56,0.9996,1.003,303.93,4e-09,0.3959,40.05,1.003,0.584,0.08147,2562000.03,153106.63,85.59,85.67,25496.84,-1,33.98,3353.53,85.67,48.88,6.833,28073.69,1706.85,0.9357,0.9387,284.24,3e-09,0.3706,37.48,0.9387,0.5462,0.07619
1654164000,30130.41,1838.55,1.003,1.004,304.39,4e-09,0.3983,40.63,1.004,0.5859,0.08163,2899999.88,152660.82,96.57,96.63,25397.55,-1,38.49,3376.32,96.65,48.69,6.813,28192.21,1711.13,0.9388,0.9394,284.67,3e-09,0.3723,37.95,0.9395,0.548,0.07628
1654167600,30187.58,1843.15,1,1.001,305.14,4e-09,0.3996,41.15,1.001,0.5842,0.08218,2809497.35,153749.34,93.11,93.14,25473.86,-1,37.24,3425.88,93.15,48.78,6.872,28244.04,1723.68,0.936,0.9363,285.59,3e-09,0.3736,38.47,0.9365,0.5464,0.07685
1654171200,30173.28,1840.32,1.003,1.004,305.19,4e-09,0.3996,41.19,1.004,0.5843,0.08215,3089999.96,153902.95,102.71,102.82,25557.98,-1,41.1,3451.46,102.78,48.87,6.888,28225.92,1714.18,0.9363,0.9392,284.67,3e-09,0.3736,38.46,0.9389,0.5465,0.07681
1654174800,30217.08,1829.1,1.011,1.011,303.74,4e-09,0.3992,41.17,1.012,0.5781,0.08199,2562999.05,146803.17,85.73,85.79,24435,-1,34.1,3303.07,85.81,46.41,6.592,28229.7,1698.69,0.9443,0.945,282.74,3e-09,0.3729,38.43,0.9451,0.5402,0.07649
1654178400,30126.07,1817.3,1.002,1.003,302.59,4e-09,0.3983,40.88,1.003,0.5744,0.08172,2975009.92,152514.09,98.98,99.06,25482.22,-1,39.38,3430.49,99.05,48.34,6.901,28124.3,1691.99,0.9357,0.9364,282.7,3e-09,0.3716,38.15,0.9363,0.5363,0.07625
1654182000,30361.71,1829.17,1.005,1.006,304.74,4e-09,0.4009,41.19,1.006,0.5976,0.08226,2789000.7,152066.72,92.33,92.38,25386.47,-1,37.08,3421,92.4,49.66,6.857,28305.1,1697.52,0.9371,0.9375,283.39,3e-09,0.3736,38.37,0.9377,0.5565,0.07667
1654185600,30383.86,1832.83,1.003,1.004,305.23,4e-09,0.4004,41.01,1.004,0.591,0.08246,2609889.39,157663.42,86.15,86.24,26281.59,-1,34.57,3525.96,86.22,50.87,7.099,28300.86,1702.84,0.9342,0.9351,283.85,3e-09,0.3727,38.21,0.9349,0.55,0.07673
1654189200,30345.28,1831.58,1.005,1.001,305.54,4e-09,0.3995,40.96,1.006,0.5876,0.08263,2672039.25,157505.31,88.53,88.61,26298.72,-1,35.44,3522.15,88.55,50.59,7.123,28238.71,1695.75,0.9309,0.9364,283.14,3e-09,0.3719,38.09,0.9358,0.5466,0.07688
1654192800,30317.84,1828.57,1.006,1.007,305.61,4e-09,0.4,40.98,1.007,0.5909,0.08236,2690000.17,153793.21,89.25,89.34,25746.92,-1,35.54,3446.52,89.32,49.66,6.959,28208.4,1692.4,0.9359,0.9368,283.33,3e-09,0.3722,38.1,0.9366,0.5495,0.07667
1654196400,30287.65,1821.72,1,1.001,305.33,4e-09,0.3977,40.45,1.001,0.5838,0.08217,2642698,152961.42,87.24,87.32,25709.73,-1,34.79,3402.53,87.33,49.08,6.942,28181.23,1694.73,0.9303,0.9312,284.85,3e-09,0.3699,37.65,0.9312,0.5431,0.07651
1654200000,30369.22,1829.12,0.9996,1.005,305.04,4e-09,0.4004,40.82,1.005,0.5855,0.08241,2750999.68,148153.22,90.96,90.99,24769.94,-1,36.48,3306.75,91.03,47.38,6.677,28248.16,1698.49,0.9305,0.9344,283.97,3e-09,0.3728,37.99,0.9347,0.5444,0.0767
1654203600,30370.53,1830.89,1,1.001,306.26,4e-09,0.4026,40.78,1.001,0.5872,0.08258,2457445.24,148380.54,80.93,80.98,24844.77,-1,32.66,3300.35,80.98,47.58,6.709,28262.41,1705.94,0.9305,0.9314,285.64,3e-09,0.3745,37.91,0.9314,0.5462,0.07687
1654207200,30647.18,1851.73,1.005,1.006,308.16,4e-09,0.4061,41.55,1.006,0.5896,0.08307,2563905.34,155039.36,84.11,84.16,25895.44,-1,34.09,3481.78,84.17,49.53,6.999,28532.92,1715.02,0.9361,0.9366,286.45,3e-09,0.378,38.67,0.9367,0.5481,0.07732
1654210800,30626.06,1843.66,1.006,1.006,309.07,4e-09,0.4067,41.27,1.007,0.5886,0.08299,2813187.88,169494.57,92.38,92.45,28497.59,-1,37.52,3792.18,92.46,54.38,7.652,28492.75,1706.64,0.9356,0.9364,286.94,3e-09,0.3785,38.38,0.9365,0.5472,0.07721
1654214400,30494.7,1834.22,0.9996,1.004,308.32,4e-09,0.4082,40.9,1.004,0.5989,0.08277,2813187.88,149466.56,92.54,92.61,25121.89,-1,37.72,3330.57,92.62,48.83,6.745,28374.85,1702.56,0.9302,0.9341,286.16,3e-09,0.3792,38.05,0.9342,0.5567,0.07702
1654218000,30676.7,1842.2,1.002,1.003,309.35,4e-09,0.4086,41.4,1.003,0.6042,0.08287,2599600.99,156340,84.9,84.98,26281.97,-1,34.66,3517.26,84.96,51.32,7.071,28517.76,1710.64,0.9314,0.9322,287.57,3e-09,0.3796,38.47,0.932,0.5614,0.07699
1654221600,30647.41,1841.95,1.003,1.004,308.97,4e-09,0.4099,41.51,1.004,0.6048,0.08283,2649736.62,154465.62,86.74,86.81,26009.85,-1,35.43,3485.11,86.8,50.76,6.965,28493.3,1706.18,0.9294,0.9335,287.3,3e-09,0.3811,38.57,0.9334,0.5619,0.07691
1654225200,30543.03,1831.84,1,1.001,308.53,4e-09,0.4088,41.4,1.001,0.5934,0.08271,2570143.5,148654.07,84.19,84.24,25027.35,-1,34.47,3356.78,84.24,48.12,6.733,28401.29,1704.67,0.9303,0.9309,287,3e-09,0.3804,38.5,0.9309,0.5516,0.07691
1654228800,30528.46,1827.8,1.003,1.004,308.25,4e-09,0.4089,41.17,1.004,0.5913,0.08271,2659919.34,153312.78,87.41,87.48,25842.11,-1,35.72,3451.58,87.49,49.59,6.959,28406.79,1696.69,0.9336,0.9343,285.99,3e-09,0.3803,38.29,0.9344,0.5502,0.07699
1654232400,30545.53,1826.91,0.9994,1.001,307.71,4e-09,0.4079,41.05,1.001,0.5949,0.08272,2844221.96,153871,93.14,93.2,25923.78,-1,37.99,3456.5,93.2,50.07,6.995,28415.63,1699.12,0.9302,0.9311,286.26,3e-09,0.3795,38.2,0.9311,0.5526,0.07692
1654236000,30531.4,1825.62,0.9994,1.006,307.41,4e-09,0.4078,41.02,1.008,0.5941,0.08264,5580262.41,153365.64,183.76,183.79,25808.69,-1,75,3444.58,183.93,49.87,6.946,28400.93,1689.83,0.9296,0.9354,284.37,3e-09,0.3792,38.14,0.9361,0.5522,0.07683
1654239600,30475.79,1818.52,1.001,1.001,305.85,4e-09,0.4067,40.76,1.002,0.5875,0.08234,2581000.4,152729.69,84.77,84.82,25778.24,-1,34.42,3422.64,84.83,49.23,6.942,28335.54,1693.67,0.9301,0.9312,285.86,3e-09,0.3784,37.87,0.9313,0.5462,0.0766
1654243200,30512.41,1820.15,0.9995,1.003,305.18,4e-09,0.4037,40.43,1.003,0.5891,0.08217,2581097.78,152755.15,84.82,84.89,25676.79,-1,34.17,3394.56,84.85,49.46,6.912,28367.06,1688.64,0.9299,0.9329,283.85,3e-09,0.3744,37.58,0.9325,0.5474,0.07639
1654246800,30460.1,1812.15,1.007,1.008,304.02,4e-09,0.4024,39.81,1.008,0.5846,0.08188,2641901.39,152175.58,87.34,87.4,25601.06,-1,34.94,3339.38,87.41,49.06,6.898,28335.74,1676.2,0.9368,0.9374,281.99,3e-09,0.3744,37.03,0.9375,0.5436,0.07615
1654250400,30251.03,1799.23,1.015,1.016,302.68,4e-09,0.3989,39.09,1.015,0.5721,0.0814,2554996.3,150475.54,85.69,85.78,25467.04,-1,33.85,3272.53,85.73,47.87,6.854,28155.7,1651.7,0.9442,0.9453,279.54,3e-09,0.371,36.38,0.9448,0.5324,0.07575
1654254000,29927.64,1773.81,1.006,1.007,299.84,4e-09,0.3963,38.95,1.006,0.5618,0.08107,2625001.09,142592.55,88.22,88.29,24174.34,-1,34.84,3139.06,88.27,45.27,6.543,27871.85,1643.91,0.9367,0.9374,278.7,3e-09,0.3686,36.29,0.9372,0.5234,0.07542
1654257600,29861.95,1778.07,1.011,1.012,298.46,3e-09,0.3944,38.64,1.012,0.5605,0.08147,2844208.48,142852.79,96.33,96.34,24064.46,-1,37.84,3099.14,96.4,44.99,6.543,27830.45,1642.55,0.9426,0.9427,276.7,3e-09,0.3676,36.03,0.9432,0.5222,0.07592
1654261200,29745.51,1767.92,1.001,1.002,298.34,4e-09,0.3922,38.25,1.001,0.557,0.0805,2538988.7,148825,85.44,85.5,25150,-1,33.56,3217.5,85.51,46.8,6.775,27726.27,1645.76,0.933,0.9337,278.12,3e-09,0.3656,35.63,0.9337,0.5189,0.07489
1654264800,29744.93,1772.62,1.009,1.01,298.67,4e-09,0.3916,38.39,1.01,0.5537,0.08061,2500000,149054.44,84.78,84.86,25057.85,-1,33.08,3211.78,84.88,46.31,6.787,27685.53,1648.2,0.9389,0.9398,277.08,3e-09,0.3644,35.73,0.94,0.5153,0.07497
1654268400,29547.01,1772.25,1.001,1.003,296.21,4e-09,0.3892,38.14,1.002,0.5479,0.08025,2570567.14,149075.58,87.12,87.22,25024.02,-1,33.86,3210.63,87.22,46.15,6.784,27574.11,1651.7,0.9345,0.9356,277.26,3e-09,0.363,35.57,0.9355,0.5113,0.07484
1654272000,29535.74,1764.73,1.002,1.001,296.7,4e-09,0.3871,38.22,1.001,0.5537,0.08011,2501000.4,138053.25,84.65,84.75,23193.5,-1,32.82,2986.31,84.75,43.27,6.277,27562.84,1646.85,0.933,0.934,276.68,3e-09,0.3614,35.65,0.934,0.5163,0.07477
1654275600,29646.18,1765.27,1.005,1.006,297.43,4e-09,0.3872,38.39,1.005,0.5578,0.08024,2529297.7,148255.08,85.72,85.8,25048.8,-1,33.16,3218.07,85.78,46.92,6.759,27640.16,1641.92,0.9396,0.9377,277.42,3e-09,0.3613,35.78,0.9406,0.5203,0.07485
1654279200,29541.21,1753.05,0.9992,1.001,297,3e-09,0.3857,38.25,1.001,0.5587,0.08027,2500000,141627.59,84.61,84.69,24005.89,-1,32.77,3087.15,84.69,45.1,6.484,27570.67,1636.95,0.9328,0.934,277.46,3e-09,0.3599,35.65,0.9339,0.5211,0.07489
1654282800,29588.08,1753.67,1.002,1.002,296.93,4e-09,0.387,38.55,1.002,0.5598,0.08066,2499000.4,148340.66,84.5,84.59,25114.95,-1,32.72,3251.2,84.59,47.33,6.822,27611.99,1636.88,0.9337,0.9347,277.13,3e-09,0.3613,35.97,0.9346,0.522,0.07526
1654286400,29716.17,1763.87,1.002,1.003,297.48,4e-09,0.3893,38.41,1.003,0.5669,0.08081,2517005.92,137807.48,84.86,84.94,23222.6,-1,33.12,3000.65,84.94,44.2,6.321,27722.17,1646.87,0.9328,0.9356,277.52,3e-09,0.3634,35.83,0.9355,0.5288,0.07541
1654290000,29838.46,1792.18,1.001,1.002,299.18,4e-09,0.3931,38.91,1.002,0.5742,0.08106,2482005.46,149044.43,83.29,83.36,24919.33,-1,32.77,3246.46,83.37,47.85,6.776,27852.8,1669.45,0.9347,0.9354,279.12,3e-09,0.3668,36.31,0.9356,0.5356,0.07563
1654293600,29870.69,1793.79,1.005,1.006,299.13,4e-09,0.3932,38.76,1.006,0.5753,0.08108,2482005.46,148878.58,83.49,83.57,24862.67,-1,32.67,3224.96,83.56,47.79,6.742,27875.78,1666.12,0.9391,0.9386,278.24,3e-09,0.367,36.15,0.94,0.5365,0.07563
1654297200,29720.81,1782.18,0.9993,1.002,298.48,4e-09,0.3906,38.31,1.002,0.5642,0.08042,2478830.79,148655.48,83.45,84.23,24912.25,-1,32.6,3195.21,345.3,47.05,6.718,27751.14,1662.16,0.9342,0.9353,278.55,3e-09,0.3645,35.75,0.9354,0.5267,0.07504
1654300800,29742.93,1778.15,1.001,1.002,299.07,4e-09,0.3907,38.34,1.002,0.5644,0.08064,2478830.79,148308.45,83.42,84.23,24937.04,-1,32.6,3197.69,345.3,47.05,6.742,27763.93,1658.9,0.9343,0.9355,278.93,3e-09,0.3648,35.78,0.9352,0.5268,0.07522
1654304400,29724.34,1776.2,1.005,1.006,298.27,4e-09,0.3897,37.85,1.006,0.5584,0.08074,2644989.51,158038.12,89.41,89.51,26555.69,-1,34.78,3369.72,89.5,49.67,7.194,27753.84,1649.51,0.9423,0.9393,277.17,3e-09,0.3637,35.31,0.9431,0.5207,0.07528
1654308000,29600.76,1761.45,1.004,1.005,297.19,4e-09,0.3877,37.11,1.005,0.5546,0.08021,2644989.51,156670.67,89.46,89.55,26466.95,-1,34.7,3299.16,89.54,49.38,7.13,27631.21,1642.69,0.937,0.9379,277.5,3e-09,0.3617,34.64,0.938,0.5176,0.07481
1654311600,29617.91,1757.05,1.002,1.003,297,4e-09,0.387,36.51,1.003,0.5579,0.07997,2630909.68,146936.96,89.01,89.1,24860.55,-1,34.53,3050.06,89.09,46.63,6.704,27641.28,1638.14,0.9351,0.9361,277.16,3e-09,0.3614,34.06,0.936,0.5205,0.07462
1654315200,29707.48,1768.68,0.9998,1.001,298.32,4e-09,0.3902,37.43,1.001,0.5638,0.08098,2602886.31,147146.69,87.6,87.68,24812.49,-1,34.29,3110.82,87.68,46.88,6.74,27732.87,1652.27,0.9333,0.9342,278.61,3e-09,0.364,34.91,0.9342,0.5261,0.07557
1654318800,29697.05,1768.61,0.9999,1.002,298.57,4e-09,0.3908,37.41,1.002,0.5654,0.08157,2629088.23,141931.95,88.58,88.67,23952.95,-1,34.7,3000.07,88.66,45.36,6.548,27729.93,1650.46,0.9343,0.9353,278.54,3e-09,0.365,34.91,0.9352,0.5279,0.07613
1654322400,29681.79,1773.37,0.9997,1,298.66,4e-09,0.3914,37.43,1.001,0.5677,0.08212,2610012.01,147481.92,87.9,87.98,24851.79,-1,34.44,3109.56,87.99,47.16,6.811,27720.47,1655.88,0.9353,0.9344,279.03,3e-09,0.3654,34.94,0.9361,0.5299,0.07661
1654326000,29686.17,1769.29,0.9993,1,298.25,4e-09,0.3913,37.33,1.001,0.5634,0.08226,2640008.45,146832.89,88.89,88.96,24747.12,-1,34.92,3095.24,88.97,46.76,6.821,27717.9,1652.8,0.9329,0.934,278.56,3e-09,0.3652,34.84,0.9341,0.5262,0.07672
1654329600,29775.38,1773.83,1.001,1.002,300.26,4e-09,0.3921,37.86,1.002,0.5675,0.08245,2485003.01,148280.13,83.54,83.61,25073.68,-1,32.79,3158.44,83.61,47.34,6.859,27816.05,1657.01,0.9351,0.9359,280.19,3e-09,0.3663,35.35,0.9359,0.5299,0.07688
1654333200,29746.52,1778.17,1.001,1.002,301.47,4e-09,0.3919,37.77,1.002,0.5666,0.08223,2490908.19,148906.49,83.8,83.89,25282.72,-1,32.9,3163.45,83.88,47.48,6.9,27782.59,1658.59,0.9347,0.9339,281.61,3e-09,0.366,35.27,0.9355,0.5293,0.0768
1654336800,29757.97,1776.44,0.9993,1.002,300.43,4e-09,0.3916,37.4,1.003,0.5629,0.08193,2547997.91,143040.94,85.71,85.8,24179.31,-1,33.58,3011.64,85.78,45.29,6.607,27798.22,1658.08,0.9351,0.936,280.28,3e-09,0.3655,34.93,0.9359,0.5253,0.07649
